JHED - Request#,creatorGeneral,title,publisher,publicationYear,resourceTypeGeneral,subjectGeneral,language,size,format,version,rights,rightsURI,description,descriptionType,fundingReferenceGeneral,creatorName,nameType,nameIdentifier,nameIdentifierScheme,Affiliation,resourceType,generalResourceType,subject,subjectScheme,subjectSchemeURI,valueURI,contributorType,contributorName,contributorNameType,contributorNameIdentifier,contributorIdentifierScheme,contributorSchemeURI,contributorAffiliation,relatedIdentifier,relatedIdentifierType,relationType,relatedMetadataScheme,relatedSchemeURI,date,dateType,alternateIdentifier,alternateIdentifierType,geoLocationPoint,pointLongitude,pointLatitude,westBoundLongitude,eastBoundLongitude,southBoundLatitude,northBoundLatitude,geoLocationPlace,geoLocationPolygon,polygonPoint,polyPointLongitude,polyPointLatitude,funderName,funderIdentifier,funderIdentifierType,awardNumber,awardURI,awardTitle
agnanad1-1,Creator!A3:F5,Variations in ocean deoxygenation across Earth System Models: Isolating the role of parametrized lateral mixing,Johns Hopkins University Data Archive,2018,ResourceType!A3:C4,Subject!A3:B4,en-us,4 kB,PDF,Version 2.0,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at [URL]",http://creativecommons.org/publicdomain/zero/1.0/,"Examines the impact of changing the lateral mixing coefficient within a single Earth System Model on oxygen distribution under global warming. Results from six simulations are shown, four with constant values of mixing coefficient and two with spatially varying values of mixing coefficient.",Abstract,Funder!A3:B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-2,,"Social Media Use Among Teens, 2015 [Canada]",,2017,,,,,,,,,"The Social Media Use Among Teens survey was conducted by the Youth Communication Development Project to understand social media communication behaviours among youth in Canada. The survey collected responses from Canadian youth using an online questionnaire that asks about social media use including, platform type, frequency of use, activity type, and location of use. This information is supplemented with the respondent’s demographic and household characteristics",Abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,"Bahl, Alexis",personal,,,"Johns Hopkins University, Department of Earth and Planetary Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,"Gnanadesikan, Anand",personal,https://orcid.org/0000-0001-5784-1116,ORCID,"Johns Hopkins University, Department of Earth and Planetary Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,"Pradal, Marie Aude",personal,,,"Johns Hopkins University, Department of Earth and Planetary Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,"Doe, Jane",personal,1111111,ORCID,Queen's University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,Model simulation,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,Raw data,Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,Academic paper,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,Earth science,FAST,http://fast.oclc.org,http://id.worldcat.org/fast/900729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,Environmental science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,Social media,Government of Canada Core Subject Thesaurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,RegistrationAgency,Johns Hopkins University ,organizational,141846012,Virtual International Authority File,https://viaf.org/,HostingInstitution,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,ContactPerson,"Gogh, Vincent van",personal,9854560,Virtual International Authority File, http://viaf.org/viaf/9854560,ProjectLeader,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,Researcher,"Brown, Charlie",personal,3521532,Virtual International Authority File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.datacite.org/application/citeproc+json/10.5072/example-full,URL,IsMetadataFor,citeproc+json,https://github.com/citation-style-language/schema/raw/master/csl-data.json,,,,,,,,,,,,,,,,,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www12.statcan.gc.ca/nhs-enm/2011/dp-pd/prof/index.cfm?Lang=E,DOI,IsDerivedFrom,x,,,,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-20 00:00:00,Copyrighted,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10/2015-02,Collected,,,,,,,,,,,,,,,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-01 00:00:00,Submitted,,,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://schema.datacite.org/meta/kernel-4.2/example/datacite-example-full-v4.2.xml,URL,,,,,,,,,,,,,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://youthsocialmedia.org/,URL,,,,,,,,,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.233, -67.302",-67.302,31.233,-71.032,-68.211,41.09,42.893,Atlantic Ocean,polygon1,"41.991, -71.032",-71.032,41.991,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon1,"42.893, -69.622",-69.622,42.893,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon1,"41.991, -68.211",-68.211,41.991,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon1,"41.090, -69.622",-69.622,41.09,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon1,"41.991, -71.032",-71.032,41.991,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,polygon2,"0.210307, 51.485877",0.210307,51.485877,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon2,"0.211056, 51.485871",0.211056,51.485871,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon2," 0.211517, 51.485851",0.211517,51.485851,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon2,"0.212561, 51.485779 ",0.212561,51.485779,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polygon2,"0.210307, 51.485877",0.210307,51.485877,,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scotland,,,,,,,,,,
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOAA,https://doi.org/10.13039/100000001,Crossref Funder,CBET-106,www.award.com,Full DataCite XML Award
agnanad1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSF,,,,,
agnanad1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences and Humanities Research Council (SSHRC),0000 0001 2184 7647,ISNI,CCB123456,,
